#name=Русско-корейский словарь
#description=Самоучитель корейского языка
kr;tr;ru
말하다;мархада;говорить
맛있는;масиннын;вкусный
맞다;матта;подходить (годиться)
매-;мэ-;каждый
매표소;мэпхёсо;билетная касса
매표소;мэпхёсо;касса
맥주;мэкчу;пиво
머리;мори;голова
머리카락;морикхарак;волосы
먹다;мокта;есть
먼;мон;далекий
면도;мёндо;бритва
명;мён;фамилия
명칭;мёнчхин;название
명함;мёнхам;визитная карточка
모두;моду;все
모레;море;послезавтра
모르다;морыда;не знать
모자;моджа;шляпа
목;мок;горло
목소리;моксори;голос
목요일;могёиль;четверг
몸;мом;тело
무;му;морковь
무거운;мугоун;тяжелый
무게;муге;вес
무료;мурё;бесплатный
무서워하다;мусовохада;бояться
무슨;мусын;какой
무엇;муот;что
문;мун;дверь
문자;мунджа;буква
문제;мундже;проблема
문화;мунхва;культура
묻다;мутта;спрашивать
물;муль;вода
물건;мульгон;вещь
물건;мульгон;предмет
물론;муллон;конечно
미래;мирэ;будущее
미술;мисуль;искусство
미터;митхо;метр
밀리미터;миллимитхо;миллиметр
바;па;бар
바꾸다;паккуда;менять
바늘;паныль;иголка
바다;пада;море
바닥;падак;пол
바닷가;падакка;берег моря
바둑;падук;шахматы (корейские)
바람;парам;ветер
바로;паро;прямо
바쁘다;паппыда;занятой
바지;паджи;брюки
박물관;панмульгван;музей
밖에;пакке;снаружи
반점;панджом;пятно
받다;патта;получать
발음;парым;произношение
밝은;пальгын;яркий
밤;пам;ночь
밥;пап;рис
밥상;папсан;стол (обеденный)
방;пан;комната
방문하다;панмунхада;посетить
방법;панбоп;метод
방법;панбоп;способ
방송;пансон;передача
방학;панхак;каникулы
배;пэ;живот
배;пэ;корабль
배가 고픈;пэга копхын;голодный
배우다;пэуда;учить (что-либо)
배추;пэчху;капуста
백;пэк;сто
백만;пэнман;миллион
백화점;пэкхваджом;универмаг
버섯;посот;гриб
버스 정류장;посы чоннюджан;автобусная остановка
버스;посы;автобус
버스로 가다;посыро када;ехать на автобусе
버터;потхо;масло
번;пон;раз
번역;понёк;перевод (письменный)
번역하다;понёкхада;переводить
번호;понхо;номер
벌레;полле;насекомое
벌써;польссо;уже
벗다;потта;снимать (одежду)
베다;педа;отрезать
벤진;пенджин;бензин
벽;пёк;стена
변화시키다;пёнхвасикхида;превращать
병;пён;болезнь
병;пён;бутылка
병든 사람;пёндын сарам;больной
병원;пёнвон;больница
보내다;понэда;посылать
보다;пода;видеть
보다;пода;смотреть
보여 주다;поёджуда;показывать
보트;потхы;лодка
복사기;поксаги;ксерокс
복숭아;поксунъа;персик
본문;понмун;текст
볼펜;польпхен;ручка (для письма)
봄;пом;весна
봉투;понтху;конверт
부드러운;пудыроун;мягкий
부르다;пурыда;звать
부분;пубун;часть
부엌;пуок;кухня
부족;пуджок;недостаток, нехватка
부탁;путхак;просьба
부탁하다;путхакхада;просить
북쪽;пукччок;север
분;пун;минута
분홍색;пунхонсэк;розовый
불;пуль;огонь
불행;пурхэн;несчастье
붓다;путта;лить
비;пи;дождь
비누;пину;мыло
비싼;писсан;дорогой (о цене)
비행기;пихэнги;самолет
빈;пин;пустой
빛;пит;свет
빠른;ппарын;быстрый
빨리;ппалли;быстро
빵;ппан;хлеб
빵가게;ппанъ каге;булочная
뺨;ппям;щека
사거리;сагори;перекресток
사건;саккон;происшествие
사고;саго;авария
사과;сагва;яблоко
사람;сарам;человек
사람들;сарамдыль;люди
사랑;саран;любовь
사랑하는;саранханын;любимый
사랑하다;саранхада;любить
사용하다;саёнхада;использовать
사월;саволь;апрель
사이;саи;между
사이즈;саиджи;размер
사전;саджон;словарь
사진;саджин;фотография
사진은 찍다;саджиныль ччикта;фотографировать
산;сан;гора
살구;сальгу;слива
살다;сальда;жить
상자;санджа;ящик
상처;санчхо;рана
새 소식;сэ сосик;новость
새;сэ;новый
새;сэ;птица
새해;сэхэ;Новый год
색채;сэкчхэ;цвет
샌드위치;сэндывичхи;бутерброд
샐러드;сэллоды;салат
생각;сэнгак;мысль
생각하다;сэнгакхада;думать
생선;сэнсон;рыба
샴페인;сямпхеин;шампанское
샴푸;сямпху;шампунь
서다;сода;стоять
서두르다;содурыда;спешить
서류;сорю;документ
서비스;собисы;сервис
서비스;собысы;обслуживание
서쪽;соччок;запад
선량한;соллянхан;добрый
선물;сонмуль;подарок
선박;сонбак;полка
선생님;сонсэнним;учитель
설명하다;сольмёнхада;объяснять
설탕;сольтхан;сахар
섬;сом;остров
성냥;соннян;спичка
센;сен;сильный
센티미터;сентхимитхо;сантиметр
셔츠;сёчхи;рубашка
소;со;корова
소개하다;согэхада;знакомить(ся)
소고기;согоги;говядина
소금;согым;соль
소나무;сонаму;сосна
소시지;сосиджи;колбаса
소포;сопхо;посылка
속눈썹;сокнунссоп;ресницы
속도;сокто;скорость
속에;соге;внутри
손;сон;рука
손가락;сонгарак;палец
손님;сонним;гость
손수건;сонсуккон;платок
솔;соль;щетка
수도;судо;столица
수리;сури;ремонт
수리하다;сурихада;ремонтировать
수업;суоп;урок
수염;суём;борода
수영장;суёнджан;бассейн
수영하다;суёнхада;плавать
수요일;суёиль;среда
수입;суип;импорт
수자;суджа;цифра
수집하다;суджипхада;собирать
수출;сучхуль;экспорт
수프;супхы;суп
숟가락;суккарак;ложка
술;суль;спиртные напитки
술집;сульччип;пивная
숲;суп;лес
쉬운;свиун;легкий (не трудный)
스웨터;сыветхо;свитер
스키;сыкхи;лыжи
스타킹;сытхакхин;чулки
스튜어디스;сытхюодисы;стюардесса
스포츠;сыпхочхи;спорт
승객;сынгэк;пассажир
시;си;стихи
시간;сиган;время
시간;сиган;час (отрезок времени)
시계;сиге;часы
시원하다;сивонхада;прохладный
시월;сиволь;октябрь
시작;сиджак;начало
시작하다;сиджакхада;начинать
시장;сиджан;рынок
식기;сикки;посуда
식물;синмуль;растение
식사를 준비하다;сиксарыль чунбихада;готовить (еду)
신문;синмун;газета
신사복;синсабок;пиджак
심장;симджан;сердце
십이월;сибиволь;декабрь
십일월;сибирволь;ноябрь
싸다;ссада;завертывать
싼;ссан;дешевый
쓰다;ссыда;писать
쓰레기;ссыреги;мусор
씻다;сситта;мыть
아니요;аниё;нет
아래의;арэе;нижний
아래의;арэе;под
아름다운;арымдаун;красивый
아무것도;амуготто;ничего
아무데도;амудедо;нигде
아무도;амудо;никто
아이;аи;ребенок
아이들;аидыль;дети
아이스크림;аисыкхырим;мороженое
아주;аджу;очень
아침 밥;ачхим пап;завтрак
아침;ачхим;утро
아파트;апхатхы;квартира
안경;ангён;очки
안내원;аннэвон;гид
안내원;аннэвон;экскурсовод
안녕 하십니까?;аннён хасимникка?;здравствуйте
안에;ане;внутри
앉다;анта;садиться
앉아 있다;анджа итта;сидеть
알다;альда;знать
앙케이트;анкхеитхы;анкета
앞에;апхе;впереди
앞에;апхе;перед
야채;ячхэ;овощи
약;як;лекарство
약;як;приблизительно
약국;яккук;аптека
약속;яксок;обещание
약속하다;яксокхада;обещать
약하다;якхада;слабый
얇은;яльбын;тонкий
양말;янмаль;носки
양복;янбок;костюм
어느 곳이든;оны косидын;везде
어느;оны;какой
어두운;одуун;темный
어디에;одие;где
어디에?;одие?;куда?
어떤;оттон;какой
어려운;орёун;сложный
어려운;орёун;трудный
어제;одже;вчера
얼굴;ольгуль;лицо
얼마;ольма;сколько
얼음;орым;лед
없이;опси;без
엘리베이터;еллибеитхо;лифт
여관;ёгван;гостиница
여권;ёгвон;паспорт
여기에;ёгие;здесь
여러분;ёробун;господа
여름;ёрым;лето
여보세요;ёбосеё;алло
여우;ёу;лиса
여자 아이;ёджа аи;девочка
여자;ёджа;женщина
여행;ёхэн;путешествие
