ID;KANJI;ONKUN;RUS
1;両;リョウ;оба, японская монета
2;丸;ガン・<まる(い)#o>・<まる#1 o>・<まる(める)#2 o>;круглый, <круг#1>, <делать округлым#2>
3;久;キュウ・<ひさ(しい)#o>;долгий
4;予;ヨ・<あらかじ(め)#o>;заранее
5;争;ソウ・<あらそ(う)#o>;бороться, спорить, ссориться
6;交;コウ・<まじ(わる)#o>・<まじ(える)#1 o>・<ま(ざる)#2 o>・<ま(ぜる)#3 o>;пересекаться, общаться, <обмениваться#1>, <быть смешанным#2>, <смешивать#3>
7;仏;ブツ・フツ・ほとけ;Будда, покойник, Франция
8;他;タ・ほか;другой
9;付;フ・<つ(ける)#o>・<つ(く)#1 o>;прикреплять, присоединять, <быть прикрепленным, прилипать#1>
10;令;レイ;приказ, команда
11;仲;チュウ・なか;посредник, отношения
12;件;ケン・<くだん(の)#1 o>;происшествие, случай, инцидент, <вышеупомянутый#1>
13;任;ニン・<まか(せる)#o>・<まか(す)#o>;назначение, поручать, доверять
14;似;ジ・<に(る)#o>;похожий, быть похожим
15;位;イ・くらい;ранг, чин, звание
16;余;ヨ・<あま(り)#o>・<あま(る)#o>;излишек, слишком, оставаться в излишке
17;例;レイ・<たと(える)#o>;пример, уподоблять
18;係;ケイ・かかり・<かか(る)#1 o>・<かか(わる)#2 o>;ответственный, ответственность, <быть чьим-л произведением#1>, <иметь отношение#2>
19;信;シン;верить, доверять
20;個;コ・カ;индивидуальный, сч. суф. мелких предметов (штука)
21;倒;トウ・<たお(れる)#o>・<たお(す)#1 o>;падать, валиться, <валить, рушить#1>
22;候;コウ;погода, климат
23;停;テイ・<と(まる)#o>・<と(める)#1 o>;временно останавливаться, <тормозить, останавливать#1>
24;側;ソク・かわ・がわ・そば;сторона
25;備;ビ・<そな(え)#o>・<そな(える)#1 o>・<そな(わる)#2 o>;приготовления, <оборудовать#1>, <быть обеспеченным#2>
26;像;ゾウ;изображение
27;優;ユウ・<やさ(しい)#1 o>・<すぐ(れる)#2 o>・<まさ(る)#2 o>;превосходный, <добрый, ласковый#1>, <превосходить#2> 
28;兆;チョウ・<きざ(し)#1 o>・<きざ(す)#2 o>;триллион, <ростки, симптом#1>, <прорастать, проявляться#2>
29;共;キョウ・とも;вместе с кем-л
30;具;グ・<そな(える)#o>;принадлежности, орудие, оборудовать чем-либо
31;再;サイ・サ・<ふたた(び)#o>;вторично, повторно
32;冷;レイ・<つめ(たい)#o>・<ひ(える)#1 o>・<ひ(やす)#2 o>・<ひ(やかす)#3 o>;холодный, бессердечный, <охлаждаться#1>, <остужать#2>, <подтрунивать#3>
33;刊;カン;издание, выпуск
34;列;レツ;ряд, шеренга
35;初;ショ・<はじ(め)#o>・<はじ(めて)#1 o>;первый, начальный, <впервые#1>
36;判;ハン・バン・<はん(じる)#1 o>・<わか(る)#2 o>;личная печать, <судить о чем-либо#1>, <разбираться#2>
37;制;セイ・<せい(する)#o>;система, держать под контролем
38;刷;サツ・<す(る)#o>;печатать
39;刻;コク・<きざ(む)#o>;гравировать, вырезать
40;則;ソク・のり・<のっと(る)#1 o>;правило, <следовать, придерживаться#1>
41;副;フク;вспомогательный, копия, дубликат
42;割;カツ・<わ(る)#o>・<わり#1>・<わ(れる)#2 o>;разделять, делить, <расчет, соотношение, 10%#1>, <ломаться, разбиваться#2>
43;加;カ・<くわ(える)#o>・<くわ(わる)#1 o>;добавлять, прилагать, <присоединяться, прибавляться#1>
44;助;ジョ・<たす(ける)#o>・<たす(かる)#1 o>;спасать, выручать, <спасаться, сохраняться о деньгах#1>
45;努;ド・<つと(める)#o>;стараться, прилагать усилия
46;労;ロウ;труд
47;務;ム・<つと(める)#o>;дела, исполнять обязанности
48;勝;ショウ・<か(つ)#o>・<まさ(る)#1 o>・<すぐ(れる)#1 o>;побеждать, <превосходить#1>
