ID;KANJI;ONKUN;RUS
49;勢;セイ・ゼイ・<いきお(い)#o>;энергия, сила, мощь
50;包;ホウ・<つつ(む)#o>・<くる(む)#1 o>;обёртывать, заворачивать, <закутывать#1>
51;化;カ・ケ・<ば(ける)#1 o>・<ば(かす)#2 o>;превращаться, <принимать чей-л облик#1>, <околдовывать, обольщать#2>
52;卒;ソツ;солдат, рядовой, выпускник
53;協;キョウ;сотрудничество
54;単;タン・<たん(に)#1 o>;одиночный, <просто, только#1>
55;印;イン・<しるし#1 o>;печать, штамп, <знак, символ#1>
56;危;キ・<あぶ(ない)#o>・<あや(うい)#o>・<あや(ぶむ)#1 o>;опасный, <опасаться#1>
57;厚;コウ・<あつ(い)#o>;толстый (о книгах), добрый, сердечный
58;原;ゲン・はら・もと;равнина, поле, степь, основа, начало
59;参;サン・<まい(る)#1 o>;участвовать, <идти (скромно о себе)#1>
60;反;ハン・タン・<そ(る)#1 o>;против, анти-, <изгибаться#1>
61;可;カ;одобрять, допустимо
62;史;シ;история
63;号;ゴウ;номер
64;各;カク・おのおの;каждый
65;向;コウ・<む(く)#1 o>・<む(ける)#2 o>・<む(かう)#3 o>・<む(こう)#4 o>;направленность, <быть направленным, годиться#1>, <поворачивать#2>, <быть обращенным#3>, <та сторона#4>
66;君;クン・きみ;ты
67;吸;キュウ・<す(う)#o>;сосать, вдыхать, втягивать, курить
68;吹;スイ・<ふ(く)#o>;дуть
69;告;コク・<つ(げる)#o>;объявлять, сообщать
70;周;シュウ・<まわ(り)#o>;кружиться, окружность, круг
71;命;メイ・ミョウ・<いのち#1>;приказ, <жизнь#1>
72;和;ワ・<やわ(らぐ)#1 o>・<やわ(らげる)#2 o>;гармония, Япония, <смягчаться#1>, <смягчать#2>
73;商;ショウ・<あきな(う)#1 o>;коммерция, <торговать, вести дело#1>
74;喜;キ・<よろこ(び)#o>・<よろこ(ぶ)#o>;радость, радоваться
75;営;エイ・<いとな(み)#o>・<いとな(む)#1 o>;бизнес, дело, <заниматься бизнесом, управлять#1>
76;器;キ・うつわ;сосуд
77;因;イン・<よ(る)#1 o>・<ちな(む)#2 o>;причина, <проистекать из чего-л#1>, <быть в связи с чем-л#2>
78;団;ダン・トン;группа, коллектив
79;囲;イ・<かこ(む)#o>・<かこ(う)#1 o>・<かこ(い)#2 o>;окружать, <обносить оградой#1>, <ограда#2>
80;固;コ・<かた(い)#o>・<かた(める)#1 o>・<かた(まる)#2 o>・<かた(まり)#3 o>;твердый, <делать твердым#1>, <затвердевать#2>, <ком, глыба#3>
81;在;ザイ・<あ(る)#o>;находиться, быть
82;坂;ハン・さか;склон, подъем
83;型;ケイ・かた;тип, форма, модель, фасон
84;報;ホウ・<むく(いる)#1 o>;информация, <вознаградить, отплатить#1>
85;境;キョウ・さかい;граница, край, местность
86;増;ゾウ・<ま(す)#o>・<ふ(える)#1 o>・<ふ(やす)#2 o>;увеличивать(ся), прибавлять(ся), <увеличиваться#1>, <увеличивать#2>
87;夢;ム・ゆめ;сон, мечта
88;夫;フ・フウ・おっと;муж
89;失;シツ・<うしな(う)#o>・<しつ#1 o>;терять, <убыток, ошибка#1>
90;妻;サイ・つま;жена
91;婚;コン;свадьба, замужество
92;婦;フ・<よめ#1>;дама, замужняя женщина, <невеста, невестка#1>
93;季;キ;время года, сезон
94;孫;ソン・まご;внук
95;守;シュ・<まも(る)#o>;охранять, защищать, соблюдать
96;完;カン;завершение, окончание, полнота, совершенство
97;官;カン;чиновник, государственная служба
98;定;テイ・ジョウ・<さだ(める)#1 o>・<さだ(まる)#2 o>;<определять, устанавливать#1>, <быть определенным, быть решенным#2>
99;実;ジツ・<み#1 o>・<みの(る)#2 o>;настоящий, <плод, суть#1>, <плодоносить, созревать#2>
100;客;キャク;гость, клиент, пассажир, посетитель
101;害;ガイ;вред
102;容;ヨウ・<い(れる)#o>・<かたち#1 o>;вмещать, принимать, <форма, вид#1>
103;宿;シュク・やど・<やど(る)#1 o>; гостиница, <оставаться на ночь#1>
104;寄;キ・<よ(る)#o>・<よ(せる)#1 o>;подходить, заходить, собираться, <приближать, подпускать, созывать#1>
105;富;フ・<と(み)#o>・<と(む)#1 o>;богатство, <быть богатым#1>
106;察;サツ・<さっ(する)#o>・<さっ(し)#o>;инспектировать, предполагать, догадка, сочувствие
107;寺;ジ・てら;буддийский храм
108;対;タイ・ツイ;против, быть направленным против, пара, комплект
109;導;ドウ・<みちび(く)#o>;вести, направлять, руководить
110;局;キョク;бюро, управление, департамент, телефонная или почтовая станция
111;居;キョ・<い(る)#1 o>・<お(る)#1 o>;проживать, <быть, находиться#1>
112;岩;ガン・いわ;скала, утес
113;岸;ガン・きし;берег
114;島;トウ・しま;остров
115;州;シュウ・ス・<す#1>;провинция, штат, <отмель#1>
116;差;サ;разница
117;布;フ・ぬの;ткань, материя
118;希;キ・まれ・<こいねが(う)#1 o>;редкий, <просить, молить#1>
119;師;シ;учитель, военный, суф. профессии
120;帯;タイ・おび・<お(びる)#1 o>;пояс, <носить (меч и т.п.), иметь привкус#1>
121;常;ジョウ・つね;обычный, постоянный
122;平;ヘイ・<たい(ら)#o>・ひら;плоский, ровный
123;幸;コウ・<さいわ(い)#o>・さち・<しあわ(せ)#o>;счастье, удача
124;底;テイ・そこ;дно
125;府;フ;правительство, город со статусом префектуры
126;庫;コ・ク・くら;склад, кладовая
127;庭;テイ・にわ;двор, сад
128;式;シキ;формула, тип, модель, стиль, церемония
129;当;トウ・<あ(たる)#1 o>・<あ(てる)#2 o>;данный, <попадать, быть угаданным#1>, <попадать, угадывать#2>
130;形;ケイ・ギョウ・かた・かたち;форма, фигура
131;役;ヤク・エキ;роль, обязанности
132;彼;ヒ・かれ;он
133;徒;ト・<いたずら#1 o>;последователь, ученик, <напрасно, попусту#1>
134;得;トク・<え(る)#o>・<う(る)#o>;прибыль, получать
135;御;ゴ・ギョ・お-・おん-・み-;префикс вежливости
136;必;ヒツ・<かなら(ず)#o>;обязательно, непременно
137;忙;ボウ・<いそが(しい)#o>;занятой
138;念;ネン;мысль, сознание, чувство, внимание, забота
139;怒;ド・<いか(り)#o>・<おこ(る)#o>;гнев, сердиться
140;性;セイ・ショウ;характер, пол, качество
141;息;ソク・いき;дыхание, вздох
142;悲;ヒ・<かな(しい)#o>・<かな(しむ)#1 o>;печальный, грустный, <печалиться#1>
143;情;ジョウ・<なさ(け)#o>;чувство, жалость, сострадание
144;想;ソウ・<おも(う)#1 o>;представлять себе, <думать#1>
145;愛;アイ・<いと(しい)#1 o>;любовь, <любимый, дорогой, бедный, жалкий#1>
146;感;カン・<かん(じ)#o>;чувство, ощущение, впечатление
147;慣;カン・<な(れる)#1 o>・<な(らす)#2 o>;обыкновение, <привыкать#1>, <приучать#2>
148;成;セイ・<な(る)#o>・<な(す)#1 o>;становиться, делаться, <образовывать#1>
149;戦;セン・<たたか(う)#o>;война, сражаться, биться, бороться
150;戸;コ・と;дверь
151;戻;レイ・<もど(す)#1 o>・<もど(る)#2 o>;<возвращать#1>, <возвращаться#2>
152;才;サイ;талант, возраст с числами
153;打;ダ・<う(つ)#o>;бить, ударять
154;払;フツ・<はら(う)#o>;платить
155;技;ギ・わざ;мастерство, искусство, умение
156;投;トウ・<な(げる)#o>;бросать, кидать
157;折;セツ・<お(る)#o>・<お(れる)#1 o>;сгибать, ломать, <ломаться, быть сломанным#1>
158;招;ショウ・<まね(く)#o>;приглашать, звать, навлекать
159;指;シ・ゆび・<さ(す)#1 o>;палец, <указывать#1>
160;探;タン・<さが(す)#o>・<さぐ(る)#1 o>;искать, <шарить, разведывать#1>
161;接;セツ・<つ(ぐ)#o>;соединять, скреплять
162;支;シ・<ささ(える)#1 o>・<つか(える)#2 o>;филиал, <подпирать, поддерживать#1>, <застревать, стопориться#2>
163;改;カイ・<あらた(める)#1 o>・<あらた(まる)#2 o>;<изменять, улучшать#1>, <изменяться, обновляться, улучшаться#2>
164;放;ホウ・<はな(す)#o>・<はな(つ)#o>・<はな(れる)#1 o>・<ほう(る)#2 o>;отпускать, выпускать, <быть выпущенным#1>, <бросать#2> 
165;政;セイ;политика
166;敗;ハイ・<やぶ(れる)#o>;поражение, терпеть поражение, быть разбитым
167;散;サン・<ち(らす)#o>・<ち(らかす)#1 o>・<ち(らかる)#2 o>・<ち(る)#3 o>;разбрасывать, <разбрасывать как попало#1>, <быть разбросанным#2>, <рассыпаться, осыпаться#3>
168;数;スウ・かず・<かぞえる#1 o>;число, <считать#1>
169;断;ダン・<た(つ)#o>・<ことわ(る)#1 o>;прерывать, отрезать, <отказывать, запретить, предупредить, извиниться, попросить разрешения#1>
170;易;エキ・イ・<やさ(しい)#o>・<やす(い)#o>;гадание, предсказание, легкий, простой
171;昔;セキ・むかし;прошлое, старина
172;星;セイ・ほし;звезда
173;昨;サク;вчера, прошлый…
174;晩;バン;вечер
175;景;ケイ;пейзаж, вид
176;晴;セイ・<は(れ)#o>・<は(れる)#1 o>;ясная погода, <проясняться#1>
177;曲;キョク・<ま(げる)#1 o>・<ま(がる)#2 o>;мелодия, <сгибать, искривлять#1>, <сгибаться, искривляться#2>
178;最;サイ・<もっと(も)#o>;самый
179;望;ボウ・<のぞ(む)#o>;надеяться, желать
180;期;キ・ゴ;срок, период
181;未;ミ・<ま(だ)#o>・<いま(だ)#1 o>;пока еще не…, <никогда еще#1>
182;末;マツ・バツ・すえ;окончание, конец
183;材;ザイ;материал, лесоматериал
184;束;ソク・たば・<たば(ねる)#1 o>;пучок, связка, <связывать в пучок, управлять#1>
185;板;ハン・バン・いた;доска, плита
186;果;カ・<はたす#1 o>・<はてる#2 o>・<はて#3>;плод, <выполнять, осуществлять#1>, <заканчиваться#2>, <конец, край#3>
187;査;サ;проверять, расследовать
188;栄;エイ・<さか(える)#1 o>・<は(える)#2 o>;расцвет, величие, <процветать#2>, <блистать, сверкать#2>
189;根;コン・ね;корень
190;格;カク;разряд, ранг, положение
191;検;ケン・<しら(べる)#o>;проверять, расследовать
192;極;キョク・ゴク・<きわ(める)#1 o>・<きわ(まる)#2 o>;полюс, высшая точка, <доводить до крайности#1>, <доходить до предела#2>
193;構;コウ・<かま(える)#1 o>・<かま(う)#2 o>;структура, <устраивать, принимать положение#2>, <беспокоиться#2>
194;様;ヨウ・さま;способ, манера, как, такой, господин, госпожа
195;横;オウ・よこ;горизонтальный, поперечник, ширина, боковая сторона
196;橋;キョウ・はし;мост
197;機;キ・<はた#1>;механизм, удобный случай, самолет, <ткацкий станок#1>
198;欠;ケツ・<あくび#1>・<か(ける)#2 o>・<か(く)#3 o>;недостача, <зевота#1>, <не хватать#2>, <недоставать, нуждаться#3>
199;次;ジ・シ・<つ(ぎ)#o>・<つ(ぐ)#1 o>;следующий, <следовать за…#1>
200;武;ブ・ム;военный, военное дело
201;歯;シ・は;зуб
202;段;ダン;ступень, ступенька, стадия
203;殺;サツ・<ころ(す)#o>・<そ(ぐ)#1 o>;убивать, <отрезать, портить#1>
204;比;ヒ・<くら(べる)#o>;сравнивать, Филиппины
205;毛;モウ・け;шерсть, волосы
206;氷;ヒョウ・こおり;лёд
207;求;キュウ・<もと(める)#o>;требовать, просить, искать (работу), домогаться
208;河;カ・かわ;река
209;油;ユ・あぶら;масло (растительное и техническое)
210;治;ジ・チ・<なお(す)#o>・<おさ(める)#1 o>・<おさ(まる)#2 o>・<なお(る)#3 o>;лечить, <руководить#1>, <быть спокойным, стихать#2>, <выздоравливать#3>
211;法;ホウ・のり;закон, правило, принцип
212;波;ハ・なみ;волна
213;泣;キュウ・<な(く)#o>;плакать
214;活;カツ・<い(きる)#1 o>・<い(かす)#2 o>・<い(ける)#3 o>;живой, <жить, быть живым#1>, <оживлять#2>, <расставлять цветы#3>
215;流;リュウ・<なが(れ)#o>・<なが(れる)#1 o>・<なが(す)#2 o>;течение, <течь#1>, <пускать по течению, лить (слезы)#2> 
216;浴;ヨク・<あ(びる)#o>;купаться, обливаться, принимать душ
217;深;シン・<ふか(い)#o>・<ふか(まる)#1 o>・<ふか(める)#2 o>;глубокий, <углубляться#1>, <углублять#2>
218;混;コン・<ま(ぜる)#o>・<ま(じる)#1 o>・<ま(ざる)#1 o>;смешивать, подмешивать, <быть смешанным#1>
219;温;オン・<あたた(かい)#o>・<あたた(まる)#1 o>・<あたた(める)#2 o>;теплый, <согреваться#1>, <греть, разогревать#2>
220;測;ソク・<はか(る)#o>;измерять, мерить, взвешивать
221;港;コウ・みなと;порт, гавань
222;湖;コ・みずうみ;озеро
223;湯;トウ・ゆ;горячая вода, горячий источник, баня
224;満;マン・<み(ちる)#1 o>・<み(たす)#2 o>;полный, <наполняться#1>, <наполнять#2>
225;準;ジュン;неполный, норма, подготовка
226;演;エン;исполнять (на сцене), совершать
227;点;テン・<つ(ける)#1 o>・<つ(く)#2 o>;точка, отметка, <зажигать свет, включать#1>, <включаться, загораться#2> 
228;無;ム・ブ・<な(い)#o>;без, не быть, не иметься
229;然;ゼン・ネン・<しか(し)#1 o>;так, <однако, тем не менее#1>
230;焼;ショウ・<や(く)#1 o>・<や(ける)#2 o>;<сжигать, жарить#1>, <гореть, жариться#2>
231;熱;ネツ・<あつ(い)#o>;горячий, температура
232;犯;ハン・<おか(す)#1 o>;преступник, <нарушать, совершать преступление#1>
233;状;ジョウ;форма, положение, состояние, вид, послание
234;独;ドク・<ひと(り)#1 o>;сам, <один#1>, Германия
235;率;ソツ・リツ・<ひき(いる)#o>;показатель, предводительствовать
236;玉;ギョク・たま;драгоценный камень, шар, мяч
237;王;オウ;монарх, король
238;現;ゲン・<あらわ(す)#1 o>・<あらわ(れる)#2 o>;действительный, <проявлять, выражать#1>, <проявляться, выявляться#2>
239;球;キュウ・たま;мяч, шар, шарик, бусинка
240;由;ユウ・よし;причина, основание, способ
241;申;シン・<もう(す)#1 o>・<さる#2>;докладывать, <говорить, называться (о себе)#1>, <Обезьяна#2>
242;留;リュウ・<と(める)#1 o>・<とど(める)#1 o>・<と(まる)#2 o>・<とど(まる)#2 o>;пребывать, <задерживать,останавливать#1>, <задерживаться, останавливаться#2>
243;略;リャク・<ほぼ#1>;сокращение, аббревиатура, <почти#1>
244;番;バン・<つがい#1>;номер, сторож, <пара (самец и самка)#1>
245;疲;ヒ・<つか(れる)#o>;уставать
246;痛;ツウ・<いた(み)#o>・<いた(い)#1 o>・<いた(む)#2 o>;боль, <больно#1>, <болеть#2>
247;登;トウ・ト・<のぼ(る)#o>;взбираться, подниматься
248;的;テキ・まと;цель, суф. прилагательных
249;皆;カイ・みな・みんな;все
250;皮;ヒ・かわ;кожа, кожура, скорлупа
251;皿;ベイ・さら;тарелка
252;直;チョク・ジキ・<なお(す)#1 o>・<なお(る)#2 o>・<すぐ#3>;прямой, <исправлять, лечить#1>, <поправляться#2>, <сразу же, скоро#3>
253;相;ソウ・ショウ;взаимный
254;省;セイ・ショウ・<かえり(みる)#1 o>・<はぶ(く)#2 o>;министерство, рефлексия, <всматриваться в себя#1>, <исключать, сокращать#2>
255;石;セキ・いし;камень
256;破;ハ・<やぶ(る)#o>・<やぶ(れる)#1 o>;ломать, разбивать, <разбиваться, разрушаться#1>
257;確;カク・<たし(か)#1 o>・<たし(かめる)#2 o>;определенный, <достоверный, несомненный#1>, <уточнять, удостоверяться#2>
258;示;ジ・シ・<しめ(す)#o>;указывать, показывать
259;礼;レイ;этикет, поклон, вежливость, благодарность
260;祝;シュク・<いわ(う)#o>;праздновать, поздравлять
261;神;シン・ジン・かみ;Бог
262;祭;サイ・<まつ(り)#o>・<まつ(る)#1 o>;праздник, <праздновать#1>
263;禁;キン;запрет
264;科;カ;отделение, факультет, курс
265;移;イ・<うつ(る)#1 o>・<うつ(す)#2 o>;переезжать, <переезжать, заражаться#1>, <перемещать, заражать#2>
266;程;テイ・ほど;мера
267;種;シュ・<たね#1 o>;разновидность, <косточка, семя, тема#1>
268;積;セキ・<つ(む)#o>・<つ(もる)#2 o>・<つ(もり)#3 o>;нагромождать, <нагромождаться#2>, <намерение, ожидание#3>, мат. произведение, площадь
269;章;ショウ;эмблема, глава, значок
270;競;キョウ・<きそ(う)#o>;состязаться, соперничать
271;竹;チク・たけ;бамбук
272;笑;ショウ・<わら(い)#o>・<わら(う)#1 o>・<え(む)#2 o>;смех, <смеяться#1>, <улыбаться#2>
273;筆;ヒツ・ふで;кисть (для письма или рисования)
274;等;トウ・<ひと(しい)#o>・<など#1 o>;равный, одинаковый, класс, <итд#1>
275;算;サン・<さんする#1>;<вычислять#1>, счет, расчет
276;管;カン・くだ;труба
277;箱;ソウ・はこ;ящик, коробка
278;築;チク・<きず(く)#1 o>;строительство, <строить, сооружать#1>
279;米;ベイ・マイ・こめ;рис, Америка, метр
280;精;セイ・ショウ;жизненная энергия
281;糸;シ・いと;нить
282;約;ヤク;приблизительно, обещание
283;級;キュウ;разряд, ранг, класс
284;細;サイ・<こま(かい)#o>・<ほそ(い)#1 o>・<ほそ(る)#2 o>;мелкий, подробный, <тонкий, узкий#1>, <сужаться#2> 
285;組;ソ・<く(み)#o>・<く(む)#1 o>;группа, команда, <составлять, объединяться#1>
286;経;ケイ・<キョウ#1>・<へ(る)#o>・<た(つ)#2 o>;проходить через ч-л, <сутра#1>, <проходить (о времени)#2>
287;結;ケツ・<むす(ぶ)#1 o>・<ゆ(う)#2 o>;узел, <связывать, завязывать#1>, <делать прическу#2>
288;給;キュウ・<たま(う)#1 o>;снабжать, <жаловать, дарить#1>
289;絵;カイ;картина, рисунок
290;絶;ゼツ・<た(える)#o>・<た(やす)#1 o>・<た(つ)#2 o>;прекращаться, <пресекать, уничтожать#1>, <прерывать#2>
291;緑;リョク・みどり;зеленый, зелень
292;編;ヘン・<あ(む)#o>;вязать, плести, составлять
293;績;セキ;достижения, заслуги
294;罪;ザイ・つみ;преступление, грех, вина
295;置;チ・<お(く)#o>;класть
296;美;ビ・<うつく(しい)#o>;красивый
297;羽;ウ・は・<はね#1>・<〜わ#2>;перья, <перо, крылья#1>, <сч. суф. птиц и кроликов#2>
298;老;ロウ・<お(いる)#1 o>・<ふ(ける)#2 o>;старик, <быть старым#1>, <стареть#2>
299;職;ショク;должность, профессия
300;育;イク・<そだ(てる)#o>・<そだ(つ)#1 o>;воспитывать, растить, <воспитываться, расти#1>
301;胃;イ;желудок
302;背;ハイ・せ・せい;спина, рост
303;能;ノウ・よく;способность
304;臣;シン・ジン;вассал, подданный
305;航;コウ;курсировать
306;船;セン・ふね・ふな-;судно
307;良;リョウ・<よ(い)#o>・<い(い)#o>;хороший
308;芸;ゲイ;искусство, мастерство, талант
309;若;ジャク・<わか(い)#o>・<も(しくは)#1 o>;молодой, <или же, или#1>
310;苦;ク・<にが(い)#o>・<くる(しい)#1 o>・<くる(しむ)#2 o>・<くる(しめる)#3 o>;горький, <мучительный#1>, <мучаться#2>, <мучать#3>
311;草;ソウ・くさ;трава
312;荷;カ・に;ноша, груз, багаж
313;葉;ヨウ・は;лист, листва
314;虫;チュウ・むし;насекомое, червь, паразиты
315;血;ケツ・ち;кровь
316;術;ジュツ・すべ;искусство, умение, техника
317;表;ヒョウ・<あらわ(す)#o>・<あらわ(れる)#1 o>・<おもて#2>;выражать, <выражаться#1>, <лицевая сторона#2>
318;製;セイ;изготовлять, сделано в…
319;複;フク;двойной, сложный
320;要;ヨウ・<い(る)#1 o>;<требоваться, быть нужным#1>, главное, суть
321;規;キ;правило
322;覚;カク・<おぼ(える)#1 o>・<さ(ます)#2 o>・<さ(める)#3 o>・<さと(る)#4 o>;ощущение, <запоминать#1>, <просыпаться, отрезвлять#2>, <утрачивать иллюзии#3>, <осознавать#4>
323;観;<カン#1>・<み(る)#o>;осматривать, <внешний вид, взгляд#1>
324;角;カク・かど;внешний угол
325;解;カイ・ゲ・<と(く)#o>・<と(かす)#1 o>・<と(ける)#2 o>;развязывать, разгадывать, <расчесывать волосы#1>, <развязываться, разгадываться#2>
326;訓;クン;наставление, поучение, японское чтение иероглифа
327;記;キ・<しる(す)#o>;записывать
328;許;キョ・<ゆる(す)#o>;разрешать, позволять, прощать
329;認;ニン・<みと(める)#o>;признавать, одобрять, разрешать
330;課;カ;отдел, секция, урок, задание
331;談;ダン;разговор, беседа
332;論;ロン;теория, мысли, рассуждения, полемика
333;講;コウ;лекция
334;識;シキ;сознание
335;議;ギ;обсуждение, рассмотрение
336;谷;コク・たに;долина, лощина, ущелье
337;豊;ホウ・<ゆた(か)#o>;обильный, богатый
338;象;ショウ・ゾウ・<かたど(る)#1 o>;явление, слон, <уподобляться, подражать#1>
339;負;フ・<ま(ける)#1 o>・<ま(かす)#2 o>・<お(う)#3 o>;отрицательный, <проигрывать#1>, <побеждать#2>, <нести на спине#3>
340;財;ザイ;финансы
341;責;セキ・<せ(める)#1 o>;ответственность, <упрекать, укорять#1>
342;費;ヒ・<つい(やす)#1 o>;расходы, <тратить, расходовать#1>
343;資;シ;капитал, средства, ресурсы
344;賛;サン;одобрять
345;路;ロ・みち;дорога, путь
346;身;シン・み;тело, сам (человек), душа
347;軍;グン;армия, войска
348;輪;リン・わ;колесо, круг, кольцо
349;農;ノウ;земледелие
350;辺;ヘン・<あたり#1>;окрестности, район, <ближайшее окружение#1>
351;迷;メイ・<まよ(う)#o>;заблудиться, быть растерянным
352;追;ツイ・<お(う)#o>;преследовать, гнать, выгонять
353;退;タイ・<しりぞ(く)#o>・<しりぞ(ける)#1 o>・<の(く)#2 o>;отступать, <отгонять, отстранять#1>, <уступать дорогу#2>
354;速;ソク・<はや(い)#1 o>・<はや(める)#2 o>;скорость, <быстрый, скорый#1>, <ускорять#3>
355;遊;ユウ・<あそ(ぶ)#o>・<あそ(ばす)#1 o>;развлекаться, играть, <соизволить#1>
356;過;カ・<す(ぎる)#o>・<す(ごす)#1 o>・<あやま(つ)#2 o>・<あやま(ち)#3 o>;превышать, проходить мимо, <проводить время#1>, <совершить ошибку#2>, <ошибка#3>
357;達;タツ・<たっ(する)#o>;достигать, доходить
358;違;イ・<ちが(う)#o>・<ちが(い)#1 o>・<ちが(える)#2 o>;отличаться, быть другим, <различие#1>, <изменять, перепутывать#2>
359;適;テキ・<かな(う)#1 o>;надлежащий, <соответствовать, подходить#1>
360;選;セン・<えら(ぶ)#o>;выбирать
361;配;ハイ・<くば(る)#o>;распределять, раздавать, рассылать
362;酒;シュ・さけ;сакэ, спиртное
363;録;ロク;запись
364;関;カン・せき・<かか(わる)#1 o>;застава, барьер, <иметь отношение#1>
365;限;ゲン・<かぎ(り)#o>・<かぎ(る)#1 o>;предел, <ограничивать#1>
366;陸;リク・ロク;суша, земля
367;険;ケン・<けわ(しい)#o>;обрывистый, крутой
368;陽;ヨウ;солнце, Ян, положительный
369;階;カイ;этаж, лестница, уровень
370;際;サイ・きわ;рубеж, край, конец
371;雑;ザツ・ゾウ・<まじ(える)#1 o>・<ま(じる)#1 o>;всякого рода, <смешивать#1>, <быть смешанным#2>
372;雪;セツ・ゆき;снег
373;雲;ウン・くも;туча, облако
374;静;セイ・<しず(か)#o>・<しず(まる)#1 o>・<しず(める)#2 o>;тихий, спокойный, <успокаиваться#1>, <успокаивать#2>
375;非;ヒ・<あら(ず)#o>;не, не есть (быть)
376;面;メン・おも・<おもて#1>・<つら#2>;лицо, <лицевая сторона#1>, <физиономия#2>
377;願;ガン・<ねが(い)#o>・<ねが(う)#1 o>;просьба, мольба, <просить, молить#1>
378;類;ルイ・たぐい;сорт, вид
379;飛;ヒ・<と(ぶ)#o>・<と(ばす)#1 o>;летать, прыгать, <пускать по воздуху, гнать#1>
380;馬;バ・うま;лошадь
381;鳴;メイ・<な(く)#o>・<な(る)#1 o>・<な(らす)#2 o>;чирикать, петь, <звучать, раздаваться#1>, <воспроизводить звук#2>
382;鼻;ビ・はな;нос
