ID;KANJI;ONKUN;RUS
1;一;イチ・イツ・<ひと(つ)#o>;один
2;七;シチ・<なな(つ)#o>・なな;семь
3;万;マン・バン・よろず;десять тысяч
4;三;サン・<み(つ)#o>・<みっ(つ)#o>;три
5;上;ジョウ・うえ・<あ(がる)#1 o>;верх, <подниматься, повышаться#1>
6;下;カ・ゲ・した・<さ(げる)#1 o>・<さ(がる)#2 o>;низ, <вешать#1>, <свешиваться#2>
7;中;チュウ・なか・うち;середина, внутренняя часть, внутри
8;九;キュウ・ク・<ここの(つ)#o>;девять
9;二;ニ・ジ・<ふた(つ)#o>;два
10;五;ゴ・<いつ(つ)#o>;пять
11;人;ジン・ニン・ひと;человек
12;今;コン・キン・いま;сейчас
13;休;キュウ・<やす(み)#o>・<やす(む)#o>;отдых, отдыхать, не работать
14;会;カイ・<あ(う)#o>;встреча, собрание, <встречаться#1>
15;住;ジュウ・ヂュウ・チュウ・<す(む)#o>;жить, проживать
16;何;カ・なに・なん;что?
17;先;セン・<さき#1>・<まず#2>;<впереди, кончик, острие, раньше#1>, <сначала, прежде всего#2>
18;入;ニュウ・<い(る)#1 o>・<い(れる)#2 o>・<はい(る)#3 o>;<входить#1>, <вставлять#2>, <входить#3>
19;八;ハチ・<や(つ)#o>・<やっ(つ)#o>;восемь
20;六;ロク・<む(つ)#o>・<むっ(つ)#o>;шесть
21;円;<エン#1>・<まる(い)#2 o>・<まる#3>;<иена#1>, <круглый#2>, <круг#3>
22;出;シュツ・<で(る)#1 o>・<だ(す)#2 o>;<выходить, появляться#1>, <вынимать, выдавать#2>
23;分;ブン・フン・ブ・<わ(かる)#1 o>・<わ(ける)#2 o>・<わ(かれる)#3 o>;доля, минута, процент, <понимать#1>, <делить#2>, <разделяться#3>
24;前;ゼン・まえ;перед, впереди, передний
25;北;ホク・きた;север
26;十;ジュウ・ジッ・ジュッ・とお;десять
27;千;セン・ち;тысяча
28;午;ゴ・<うま#1>;полдень, <Лошадь#1>
29;半;ハン・なかば;половина, наполовину, в середине
30;南;ナン・みなみ;юг
31;友;ユウ・とも;друг
32;口;コウ・ク・くち;рот
33;古;コ・<ふる(い)#o>;старый
34;右;ウ・ユウ・みぎ;правый
35;名;メイ・ミョウ・な;имя, название, репутация, известность
36;四;シ・<よ(つ)#o>・<よっ(つ)#o>・よん;четыре
37;国;コク・くに;страна, государство, родина
38;土;ド・ト・つち;земля, почва
39;夕;セキ・ゆう;вечер
40;外;ガイ・ゲ・そと・<ほか#1>;вне, снаружи, на улице, <другой, кроме#1>
41;多;タ・<おお(い)#o>;много, частый
42;夜;ヤ・よる;ночь, поздний вечер
43;大;ダイ・タイ・<おお(きい)#o>;большой
44;天;テン・あめ;небо
45;女;ジョ・ニョ・ニョウ・おんな;женщина
46;子;シ・ス・こ;ребенок
47;学;ガク・<まな(ぶ)#1 o>;учение, знание, наука, <изучать#1>
48;安;アン・<やす(い)#o>;дешевый, спокойный
49;家;カ・ケ・いえ・うち;дом
50;小;ショウ・<ちい(さい)#o>・こ-;маленький
51;少;ショウ・<すく(ない)#o>・<すこ(し)#o>;мало, немножко
52;山;サン・やま;гора
53;川;セン・かわ;река
54;左;サ・ひだり;левый
55;年;ネン・とし;год
58;広;コウ・<ひろ(い)#o>・<ひろ(がる)#1 o>・<ひろ(める)#2 o>;широкий, <расширяться#1>, <расширять#2>
59;店;テン・みせ;магазин, лавка
60;後;ゴ・コウ・あと・<のち#1>・<うし(ろ)#2 o>;после, <потом#1>, <позади, сзади#2>
61;思;シ・<おも(う)#o>;думать, полагать
62;手;シュ・て;рука
63;新;シン・<あたら(しい)#o>・あらた・あら-;новый
64;日;ニチ・ジツ・ひ;день, солнце
65;昼;チュウ・ひる;дневное время, середина дня
66;時;ジ・とき;время, час
67;書;ショ・<か(く)#o>;писать
68;月;ゲツ・ガツ・つき;месяц, луна
69;有;ユウ・ウ・<あ(る)#o>;иметься, существовать, быть
70;朝;チョウ・あさ;утро
71;木;ボク・モク・き;дерево
72;本;ホン・<もと#1>;книга, <источник, основа#1>
73;来;ライ・タイ・<く(る)#o>;приходить, прибывать, наступать (о времени года)
74;東;トウ・ひがし;восток
75;校;コウ・キョウ;школа
76;歩;ホ・ブ・<ある(く)#o>;ходить (пешком)
77;母;ボ・はは;мама
78;毎;マイ・ごと;каждый (день, етк)
79;気;キ・ケ・き;дух, воздух, пар, атмосфера, чувства, настроение
80;水;スイ・みず;вода
81;火;カ・ひ;огонь, пламя
82;父;フ・ちち;папа
83;生;セイ・ショウ・<い(きる)#1 o>・<う(まれる)#2 o>・<う(む)#3 o>・<なま#4>;жизнь, <жить, быть живым#1>, <рождаться#2>, <рождать, приносить#3>, <сырой#4>
84;男;ダン・ナン・おとこ;мужчина
85;白;ハク・ビャク・<しろ(い)#o>・<しろ#1>;белый, <белый цвет#1>
86;百;ヒャク・ビャク・もも;сто, много
87;目;モク・ボク・め;глаз, суффикс порядковых числительных
88;知;チ・<し(る)#o>・<し(らせ)#1 o>・<し(らせる)#2 o>;знания, знать, <извещение#1>, <извещать#2>
89;社;シャ・やしろ;фирма, синтоистское святилище
90;私;シ・わたくし・わたし;я, частный, личный
91;空;クウ・<そら#1>・<あ(く)#2 o>;пуста, <небо#1>, <быть пустым#2>
92;立;リツ・<た(つ)#o>・<た(てる)#o>;стоять, ставить
93;紙;シ・かみ;бумага
94;耳;ジ・みみ;ухо
95;聞;ブン・モン・<き(く)#o>・<き(こえる)#1 o>;слышать, спрашивать, <быть слышным, звучать#1>
96;花;カ・はな;цветок
97;行;コウ・ギョウ・<い(く)#o>・<ゆ(く)#o>・<おこな(う)#1 o>;идти, ходить, уходить, <совершать, осуществлять#1>
98;西;セイ・サイ・ス・にし;Запад
99;見;ケン・<み(る)#o>・<み(える)#1 o>・<み(せる)#2 o>;видеть, смотреть, <виднеться, показываться#1>, <показывать#2>
100;言;ゲン・ゴン・<い(う)#o>;слово, говорить
101;話;ワ・<はな(す)#o>・<はなし#1 o>;говорить, рассказывать, <разговор, беседа#1>
102;語;ゴ・<かた(る)#o>;язык, говорить, рассказывать
103;読;ドク・<よ(む)#o>;читать
104;買;バイ・<か(う)#o>;покупать
105;赤;セキ・<あか(い)#o>・<あか#1>;красный, <красный цвет#1>
106;走;ソウ・<はし(る)#o>;бежать, ехать (о машине)
107;足;ソク・あし;нога
108;車;シャ・くるま;машина, повозка
109;近;キン・<ちか(い)#o>;близкий
110;週;シュウ;неделя
111;道;ドウ・みち;дорога, путь, расстояние
112;金;キン・コン・かね;золото, деньги, металл
113;銀;ギン・しろがね;серебро
114;長;チョウ・<なが(い)#o>;длинный
115;間;カン・ケン・あいだ・<ま#1>;интервал, промежуток, период, <комната#1>
116;雨;ウ・あめ・あま;дождь
117;電;デン;электричество
118;食;ショク・<た(べる)#o>;еда, есть
119;飲;イン・<の(む)#o>;пить
120;駅;エキ;станция
121;高;コウ・<たか(い)#o>・<たか#1>・<たか(まる)#2 o>・<たか(める)#3 o>;высокий, дорогой, <количество, повышение#1>, <повышаться#2>, <повышать#3>
122;魚;ギョ・さかな;рыба
