ID;KANJI;ONKUN;RUS
96;映;エイ・<うつ(る)#o>・<うつ(す)#1 o>;отражаться, <отражать, бросать тень#1>
97;春;シュン・はる;весна
98;暑;ショ・<あつ(い)#o>;жаркий
99;暗;アン・<くら(い)#o>;темный, мрачный, несведущий
100;曜;ヨウ;день недели
101;服;フク・<ふく(する)#o>;одежда, подчиняться
102;村;ソン・むら;деревня
103;林;リン・はやし;лес, роща
104;森;シン・もり;лес
105;業;ギョウ・わざ;промышленность, занятие, профессия, курс
106;楽;ガク・ラク・<たの(しい)#1 o>・<たの(しむ)#2 o>;удовольствие, музыка, <приятный#1>, <веселиться#2>
107;歌;カ・うた・<うた(う)#1 o>;песня, <петь#1>
108;止;シ・<と(める)#o>・<と(まる)#1 o>・<や(める)#2 o>・<や(む)#3 o>;останавливать, <останавливаться#1>, <прекращать, бросать#2>, <переставать (о дожде)#3>
109;正;セイ・ショウ・<ただ(しい)#o>・<ただ(す)#1 o>・<まさ(に)#2 o>;правильный, <исправлять#1>, <как раз, точно#2>
110;死;シ・<し(ぬ)#1 o>;смерть, <умирать#1>
111;残;ザン・<のこ(る)#o>・<のこ(す)#1 o>・<のこり#2 o>;оставаться, <оставлять#1>, <остаток#2>
112;民;ミン・たみ;народ
113;池;チ・いけ;пруд
114;決;ケツ・<き(める)#o>・<き(まる)#1 o>;решать, <быть решенным#1>
115;注;チュウ・<そそ(ぐ)#1 o>・<つ(ぐ)#2 o>;комментарий, <лить, поливать, впадать (о реке)#1>, <наливать#2>
116;泳;エイ・<およ(ぐ)#o>;плавать
117;洋;ヨウ;океан
118;洗;セン・<あら(う)#o>;мыть, стирать
119;海;カイ・うみ;море
120;消;ショウ・<け(す)#o>・<き(える)#1 o>;гасить, выключать, стирать, <гаснуть, таять#1>
121;漢;カン;Китай
122;牛;ギュウ・うし;корова
123;物;ブツ・モツ・もの;вещь, предмет
124;特;トク・<とく(に)#o>;особый, в особенности
125;犬;ケン・いぬ;собака
126;理;リ・<ことわり#1 o>;принцип, аргумент, основание, <уст. причина#1>
127;産;サン・<う(む)#o>・<う(まれる)#1 o>;рождать, <рождаться#1>
128;用;ヨウ・<もち(いる)#o>;употреблять, применять, использовать
129;田;デン・た;рисовое поле
130;町;チョウ・まち;город, квартал, улица
131;画;ガ・カク・え・<えが(く)#1 o>;картина, план, <рисовать#1>
132;界;カイ・さかい;сфера, граница
133;病;ビョウ・<や(む)#o>;болеть
134;発;ハツ・<はっ(する)#o>・<た(つ)#2 o>;испускать, выпускать, публиковать, <отправляться, выходить#2>
135;県;ケン;префектура
136;真;シン・まこと;правда, истина
137;着;チャク・ジャク・<つ(く)#o>・<き(る)#1 o>・<き(せる)#2 o>;прибывать, <надевать (одежду)#1>, <надевать (на кого-л)#2>
138;短;タン・<みじか(い)#o>;короткий
139;研;ケン・<と(ぐ)#o>;точить, шлифовать
140;祖;ソ;предок, родоначальник
141;秋;シュウ・あき;осень
142;究;キュウ・<きわ(める)#o>;осваивать, исследовать
143;第;ダイ;префикс порядковых числительных
144;答;トウ・<こた(え)#o>・<こた(える)#1 o>;ответ, <отвечать#1>
145;終;シュウ・<おわ(り)#o>・<おわ(る)#1 o>・<お(える)#2 o>;конец, <заканчиваться#1>, <заканчивать#2>
146;続;ゾク・<つづ(く)#o>・<つづ(ける)#1 o>;продолжаться, <продолжать#1>
