ID;KANJI;ONKUN;RUS
1;与;ヨ・あた<(える)#o>;давать, наносить,  ставить (задачу)
2;並;ヘイ・<な(み)#o>・<なら(べる)#o>・<なら(ぶ)#o>・<なら(び)#o>;средний, обычный, ставить в ряд, стоять в ряд, ряд, линия
3;乱;ラン・<みだ(れる)#o>・<みだ(す)#o>;беспорядок, быть в беспорядке, приводить в беспорядок 
4;乳;ニュウ・ちち・ち;молоко, грудь, вымя
5;乾;カン・ケン・<かわ(く)#o>・<ひ(る)#o>・<かわ(かす)#o>・<ほ(す)#o>;сухой, сохнуть, сушить, осушать
6;了;リョウ・<りょう(する)#o>;понимать, заканчивать
7;互;ゴ・<たが(い)#o>;взаимный
8;亡;ボウ・ない・<な(くなる)#o>・<な(くす)#o>;покойный, скончаться, терять (кого-л близкого)
9;介;カイ・<かい(して)#o>;посредничать, через посредство кого-л
10;伸;シン・<の(びる)#o>・<の(ばす)#o>;растягиваться, тянуться, растягивать, выпрямлять
11;伺;シ・<うかが(う)#o>;осведомляться, посещать, навещать
12;供;キョウ・<そな(える)#o>・とも;предоставлять, приносить в жертву, спутник, свита
13;依;イ・エ・<よ(る)#o>;зависеть от чего-л, прибегать к чему-л
14;倍;バイ;удваивать, двойной
15;値;チ・ね・あたい;величина, цена, стоимость, ценность
16;偉;イ・<えら(い)#o>;великий, выдающийся, замечательный, сильный
17;偶;グウ・たま;чётный, чётность, время от времени, нечасто
18;傾;ケイ・<かたむ(く)#o>・<かたむ(ける)#o>;наклон, наклоняться, быть склонным, наклонять, склонять
19;億;オク;сто миллионов
20;児;ジ・ニ・こ;дитя, ребенок
21;党;トウ;политическая партия
22;兵;ヘイ・つわもの;солдат, армия, воин, ратник
23;冊;サツ;том, сч. суф. для книг и толстых тетрадей
24;凍;トウ・<こお(る)#o>・<こご(える)#o>・<こお(らす)#o>;замерзать, застывать, коченеть, замораживать
25;処;ショ・ところ;распоряжаться, место
26;到;トウ・<いた(る)#o>;доходить, достигать
28;券;ケン;билет, купон, облигация, свидетельство
29;刺;シ・<さ(す)#o>・<さ(さる)#o>・とげ;вонзать, втыкать, вонзиться, застрять, шип, игла
30;劇;ゲキ・<はげ(しい)#o>;театр, драма, пьеса, яростный, страстный
31;効;コウ・<き(く)#o>;эффект, действие, быть эффективным
32;勇;ユウ・<いさ(む)#o>;храбрость, мужество, ободриться, воспрянуть духом
33;募;ボ・<つの(る)#o>;вербовать, объявлять набор, проводить подписку
34;勤;キン・<つと(める)#o>・<つと(まる)#o>;исполнять обязанности, служить, исполнять роль, годиться, справляться
35;匹;ヒツ・ひき;сч. суф. для мелких животных
36;占;セン・<し(める)#o>・<うらな(う)#o>;занимать (место), гадать
37;卵;ラン・たまご;яйцо, икра
38;双;ソウ・ふた;пара, оба
39;収;シュウ・<おさ(める)#o>・<おさ(まる)#o>;доход, получать, уплачивать, быть помещённым к-л, улаживаться
40;叫;キョウ・<さけ(ぶ)#o>;крик, кричать, призывать
41;召;ショウ・<め(す)#o>;вызывать, звать, посылать за кем-л
42;否;ヒ・いな・いや;или нет, нет
43;含;ガン・<ふく(む)#o>・<ふく(める)#o>;содержать, держать во рту, таить в душе, включать, растолковывать
44;咲;ショウ・<さ(く)#o>;цвести
45;喫;キツ・<きっ(する)#o>;закусывать, пить, есть, курить
46;圧;アツ・<お(す)#o>;давление, давить, сжимать
47;均;キン・<なら(す)#o>・<ひと(しい)#o>;равнять, выравнивать, равный, одинаковый
48;坊;ボウ・<ぼう(や)#o>・<ぼう(さん)#o>;мальчик, мальчуган, буддийский монах
49;埋;マイ・<う(める)#o>・<う(まる)#o>;зарывать, хоронить, быть зарытым, быть засыпанным
50;城;ジョウ・しろ;замок
51;域;イキ;район, пределы, границы, стадия, уровень
52;塔;トウ;башня, пагода, обелиск
53;塗;ト・<ぬ(る)#o>・<まみ(れる)#o>;намазывать, красить, вымазаться, быть покрытым
54;塩;エン・しお;соль
55;央;オウ;центр
56;奥;オウ・おく・<おく(まる)#o>;глубь, внутренняя часть, скрытое, находить в глубине
57;姓;セイ;фамилия
58;委;イ・<ゆだ(ねる)#o>・<まか(せる)#o>;поручать, доверять
59;娘;ジョウ・むすめ;дочь, девушка
60;存;ソン・ゾン・<そん(する)#o>・<ぞん(じる)#o>;существовать, сохраняться, знать, быть знакомым
61;宅;タク;ваш дом
62;宇;ウ;вселенная, мир, космос, большое здание, крыша
63;宝;ホウ・たから;сокровище
64;封;フウ・ホウ・<ふう(じる)#o>;запечатывать, запечатывание
65;専;セン・<もっぱ(ら)#o>;специальный, исключительно, всецело
66;将;ショウ・<まさ(に)#o>;генерал, вот-вот, почти что
