ID;KANJI;ONKUN;RUS
67;尊;ソン・<たっと(ぶ)#o>・<とうと(ぶ)#o>・<たっと(い)#o>・<とうと(い)#o>;почитать, уважать, почтенный, уважаемый
68;届;カイ・<とど(け)#o>・<とど(ける)#o>・<とど(く)#o>;извещение, доставлять, доходить, достигать
69;層;ソウ;слой, пласт, прослойка
70;巨;キョ;огромный, великий
71;巻;カン・ケン・<ま(き)#o>・<ま(く)#o>;свиток, том, книга, свертывать, скручивать, заводить часы
72;帽;ボウ;головной убор, шляпа
73;幅;フク・はば;ширина
74;干;カン・<ほ(す)#o>・<ひ(る)#o>;сухой, сушить, осушать, сохнуть, высыхать
75;幼;ヨウ・<おさな(い)#o>;младенец, младенческий, детский, незрелый
76;幾;キ・<いく(つ)#o>・<いく(ら)#o>;сколько?, сколько лет?, сколько стоит?
77;庁;チョウ;администрация, управление, ведомство
78;床;ショウ・とこ・ゆか・<ゆか(しい)#o>;постель, стенная ниша, пол, восхитительный
79;延;エン・<のば(す)#o>・<の(びる)#o>・<の(べ)#o>;растягивать, продлевать, простираться, тянуться, отсрочка платежа
80;律;リツ・<りっ(する)#o>;ритм, закон, правило, судить о чем-л
81;復;フク・また・<ふく(する)#o>;восстановление, снова, возвращаться к чему-л, возвращать себе
82;快;カイ・<こころよ(い)#o>;приятный, прекрасный
83;怖;フ・<こわ(い)#o>・<こわ(がる)#o>・<お(じる)#o>・<おそ(れる)#o>;страшный, бояться, страшиться
84;恋;レン・こい・<こ(いしい)#o>;любовь, любимый, возлюбленный
85;恐;キョウ・<おそ(れる)#o>・<おそ(ろしい)#o>・<こわ(い)#o>・<こわ(がる)#o>;страх, бояться, страшный, бояться
86;恥;チ・はじ・<は(じる)#o>・<は(ずかしい)#o>;стыд, стыдиться, стыдный
87;患;カン・<わずら(い)#o>・<わずら(う)#o>;больной, болезнь, болеть
88;悩;ノウ・<なや(む)#o>・<なや(ましい)#o>;страдать, мучаться, мучительный
89;憎;ゾウ・<にく(む)#o>・<にく(い)#o>・<にく(らしい)#o>・<にく(しみ)#o>;ненавидеть, ненавистный, противный, ненависть
90;承;ショウ・<うけたまわ(る)#o>・<う(ける)#o>;соглашаться, слушать, слушать, наследовать
91;抜;バツ・ハツ・ハイ・<ぬ(く)#o>・<ぬ(ける)#o>・<ぬ(かる)#o>・<ぬ(かす)#o>;вытаскивать, удалять, выниматься, выпадать, допускать промах, опускать
92;抱;ホウ・<だ(く)#o>・<いだ(く)#o>・<かか(える)#o>;обхватывать, обнимать, держать на руках, держать в услужении
93;担;タン・<かつ(ぐ)#o>・<にな(う)#o>;нести (плече), иметь во главе, подшутить, нести обязанности
94;拝;ハイ・<おが(む)#o>;поклоняться, молиться
95;挟;キョウ・<はさ(む)#o>・<はさ(まる)#o>;зажимать, быть зажатым между
96;捕;ホ・<と(らえる)#o>・<つか(まえる)#o>・<と(らわれる)#o>・<つか(まる)#o>・<と(る)#o>;ловить, схватить, арестовать, быть пойманным, быть охваченным, ловить (рыбу)
97;捜;ソウ・<さが(す)#o>;искать, разыскивать
98;掃;ソウ・<は(く)#o>;мести, подметать, подкрашивать (брови)
99;掘;クツ・<ほ(る)#o>;копать, рыть, бурить
100;掛;カイ・ケイ・<か(ける)#o>・<か(かる)#o>;вешать, тратить, звонить по телефону, садиться, накрывать, висеть, требоваться, стоить
101;採;サイ・<と(る)#o>;добывать, брать
102;換;カン・<か(える)#o>・<か(わる)#o>;обменивать, обмениваться, конвертироваться
103;損;ソン・<そこ(なう)#o>・<そこ(ねる)#o>;убыток, портить, ранить
104;救;キュウ・<すく(う)#o>・<すく(い)#o>;спасать, выручать, спасение, помощь
105;敬;ケイ・キョウ・<うやま(う)#o>・<うやま(い)#o>;уважать, почитать, уважение, почитание
106;旧;キュウ・もと・<ふる(い)#o>;прежний, старое, прошлое, бывший, прежний
107;昇;ショウ・<のぼ(る)#o>;повышение, взбираться, получать повышение
108;普;フ・<あまね(く)#o>;распространённый, повсюду, везде
109;暮;ボ・くれ・<く(れる)#o>・<く(らす)#o>・<く(らし)#o>;сумерки, конец дня, кончаться, смеркаться, жить, существовать, существование
110;暴;ボウ・<あば(れる)#o>・<あば(く)#o>;насилие, бушевать, буянить, раскрывать, разоблачать
111;曇;ドン・<くも(る)#o>・<くも(り)#o>;пасмурный, быть пасмурным, облачность
112;更;コウ・<さら(に)#o>・<ふ(ける)#o>・<ふ(かす)#o>;обновлять, снова, ещё раз, кроме того, смеркаться, сидеть допоздна
113;替;タイ・<か(える)#o>・<か(わる)#o>;обмен, менять, заменять, быть заменённым, меняться местами 
114;札;サツ・ふだ;этикетка, бумажные деньги
115;机;キ・つくえ;стол, парта
116;杯;ハイ・さかずき;чарка, чашка для сакэ, рюмка, сч. суффикс для выпитых рюмок
117;枚;マイ;плоские предметы, сч. суф. для плоских предметов
118;枝;シ・えだ;ветка, ветвь, ответвление
119;枯;コ・<か(れる)#o>・<か(らす)#o>;засыхать, вянуть, сушить, высушивать растения
120;柔;ジュウ・<やわ(らかい)#o>;мягкий, нежный
121;柱;チュウ・はしら;колонна, столб
122;械;カイ;механизм
123;棒;ボウ;палка, дубинка, шест, черта, линия
124;植;ショク・<う(える)#o>・<う(わる)#o>;сажать (растения), быть посаженным
125;権;ケン・ゴン;права
126;欧;オウ;Европа
127;欲;ヨク・<ほっ(する)#o>・<ほ(しい)#o>;желать, хотеть
128;歳;サイ・とし;возраст
129;歴;レキ;карьера, чередование
130;殿;デン・との;дворец, барин, господин
131;毒;ドク;яд, отрава, вирусы, порча
132;永;エイ・<なが(い)#o>・<なが(らく)#o>;вечный, долгий, долго
133;汗;カン・あせ;пот
134;汚;オ・<きたな(い)#o>・<よご(れる)#o>・<けが(れる)#o>・<よご(す)#o>・<けが(す)#o>;грязь, грязный, пачкаться, пачкать
135;沈;チン・<しず(む)#o>・<しず(める)#o>;погружаться, тонуть, топить, погружать
136;沸;フツ・<わ(く)#o>・<わ(かす)#o>;кипеть, бурлить, кипятить, будоражить
137;況;キョウ・<まし(て)#o>・<いわ(んや)#o>;положение, тем более, не говоря уже о…
138;泉;セン・いずみ;родник, источник, ключ
139;泊;ハク・<と(まる)#o>・<と(める)#o>;ночевать, оставаться на ночь, оставлять на ночь, сч. суф. ночевок
140;泥;デイ・どろ・<どろ(んこ)#o>;грязь, слякоть
141;浅;セン・<あさ(い)#o>;мелкий, неглубокий, поверхностный
142;浮;フ・<う(く)#o>・<う(かれる)#o>・<う(かべる)#o>;всплывать, плавать, держаться на воде, развлекаться, спускать на воду
143;涙;レイ・なみだ・<なみだ(ぐむ)#o>;слезы, прослезиться
144;液;エキ;жидкость, раствор, сок
145;涼;リョウ・<すず(しい)#o>・<すず(む)#o>;прохладный, свежий, наслаждаться прохладой
146;清;セイ・ショウ・<きよ(い)#o>・<きよ(まる)#o>・<きよ(める)#o>;чистый, нравственно очищаться, очищать, омывать
147;済;サイ・<す(む)#o>・<す(ます)#o>・<す(まない)#o>;закончено, окончиться, обойтись, заканчивать,  извините
148;減;ゲン・<へ(る)#o>・<へ(らす)#o>;уменьшаться, стираться, уменьшать
149;渡;ト・<わた(る)#o>・<わた(す)#o>;переправляться, переходить через, переправлять, передавать
150;湾;ワン;залив, бухта
151;湿;シツ・<しめ(る)#o>・<しめ(す)#o>;сырой, быть влажным, отсыревать, увлажнять
152;溶;ヨウ・<と(ける)#o>・<と(かす)#o>;растворяться, таять, растворять, растапливать
153;滴;テキ・しずく・<したた(る)#o>;капля, капать, падать каплями
154;漁;ギョ・リョウ・<あさ(る)#o>;рыболовство, улов, ловить рыбу
155;濃;ノウ・<こ(い)#o>;густой, крепкий, темный
156;濯;タク・<すす(ぐ)#o>・<よす(ぐ)#o>;полоскать, стирать, мыть, полоскать
157;灯;トウ・ともしび・あかり・<とも(す)#o>;лампа, свет, зажигать, включать свет
158;灰;カイ・はい;пепел, зола
159;炭;タン・すみ;уголь
160;煙;エン・けむり・<けむ(る)#o>・<けむ(い)#o>;дым, дымиться, дымный
161;照;ショウ・<て(る)#o>・<て(らす)#o>;светить, сиять, освещать, сопоставлять
162;燃;ネン・<も(える)#o>・<も(やす)#o>;гореть, пылать, зажигать
163;燥;ソウ;сохнуть
164;爆;バク・<は(ぜる)#o>;взрыв, лопаться, трескаться
165;片;ヘン・ひら・<かた(をつける)#o>;один из двух, листок, клочок, уладить, разобраться
166;版;ハン;издание, клише, выпуск, печать
167;猫;ビョウ・ねこ;кошка, кот
168;珍;チン・<めずら(しい)#o>;редкостный, необычный, диковинный
169;瓶;ビン・かめ;бутылка, флакон, горшок, кувшин, ваза
170;甘;カン・<あま(い)#o>・<あま(える)#o>・<あま(やかす)#o>・<うま(い)#o>;сладкий, быть избалованным, баловать, вкусный
171;畑;はた・はたけ;плантация, суходольное поле, огород, поприще
172;畜;チク;скотина, домашние животные
173;畳;ジョウ・たたみ・<たた(む)#o>;татами, складывать
174;疑;ギ・<うたが(い)#o>・<うたが(う)#o>;подозрение, сомневаться, не доверять
175;療;リョウ;лечение
176;盗;トウ・<ぬす(む)#o>・<ぬす(み)#o>;красть, воровать, кража, воровство
177;眠;ミン・<ねむ(る)#o>・<ねむ(い)#o>;спать, засыпать, сонный, наводящий сон
178;砂;サ・すな;песок
179;硬;コウ・<かた(い)#o>;твердый, жесткий
180;磨;マ・<みが(く)#o>;шлифовать, полировать, чистить (зубы)
181;祈;キ・<いの(り)#o>・<いの(る)#o>;молитва, молиться, желать чего-л кому-л
182;福;フク;счастье, благополучие, удача
183;秒;ビョウ;секунда
184;税;ゼイ;налог, пошлина
185;突;トツ・<つ(く)#o>;ударять, толкать, колоть, нападать
186;窓;ソウ・まど;окно
187;童;ドウ・わらべ;дитя
188;符;フ;ярлык, знак, талон, билет, метка, амулет
189;筒;トウ・つつ;труба, муфта
190;簡;カン;простой, краткость
191;籍;セキ;приписка, гражданство
192;粉;フン・こ・こな・デシメートル;порошок, мука, дециметр
193;粒;リュウ・つぶ;частица, зёрнышко, капля
194;紅;コウ・ク・べに・くれない・<あか(い)#o>;алый, помада, румяна, алый цвет, красный
195;純;ジュン・<じゅん(な)#o>;беспримесный, чистый, чистый душой
196;紹;ショウ;знакомить, представлять
197;絡;ラク・<から(む)#o>・<から(まる)#o>・<から(める)#o>;зацепляться, обвиваться, цепляться, обвивать
198;綿;メン・わた;хлопок, вата
199;総;ソウ・<すべ(て)#o>・<すべ(る)#o>;общий, все, всё, полностью, управлять, объединять
200;緒;ショ・お;начало, шнур, тесьма, струна
201;缶;カン・かま;консервная банка, бидон, котелок
202;署;ショ;контора, полицейский участок, подпись
203;群;グン・むれ・<む(れる)#o>・<むら(がる)#o>;группа, толпа, стадо, толпиться
204;翌;ヨク;следующий (день, месяц, год)
205;耕;コウ・<たがや(す)#o>;земледелие, возделывать землю
206;肌;キ・はだ;кожа, голое тело, натура, склад ума
207;肩;ケン・かた;плечо
208;肯;コウ・<がえんじ(る)#o>;соглашаться, уступать
209;胸;キョウ・むね;грудь, сердце, душа
210;脂;シ・あぶら・やに;жир, сало, смола, никотин
211;脳;ノウ;мозг, мозги
212;腕;ワン・うで;рука, умение, мастерство
213;腰;ヨウ・こし;поясница, талия, нижняя часть
214;腹;フク・はら・<(お)なか#o>;живот, желудок
215;膚;フ・はだ;кожа, голое тело
216;臓;ゾウ・はらわた;кишечник, кишка, кишки, потроха
217;舞;ブ・<ま(う)#o>・まい;танцевать, танец, пляска
218;舟;シュウ・ふね・ふな;лодка, судно, корабль
219;般;ハン;категория, род, вид
220;荒;コウ・<あら(い)#o>・<あ(れる)#o>;бурный, грубый, быть бурным (о погоде), буйствовать
221;菓;カ;сладости
222;著;チョ・チャク・<あらわ(す)#o>・<いちじる(しい)#o>;автор, писать, издавать, значительный, заметный
223;蒸;ジョウ・<む(す)#o>・<む(らす)#o>・<む(れる)#o>;варить на пару, быть душным, становиться затхлым, преть
224;蔵;ゾウ・くら・<ぞう(する)#o>;кладовая, склад, имущество, хранить
225;薄;ハク・<うす(い)#o>・<うす(める)#o>・<うす(まる)#o>;тонкий, бледный, слабый, разбавлять, уменьшаться
226;衣;イ・ころも・きぬ;одежда, одеяние
227;袋;タイ・ふくろ;мешок, сумка, пакет
228;被;ヒ・<こうむ(る)#o>・<かぶ(る)#o>・<おお(う)#o>;подвергаться, надевать на голову, быть облитым, заслонять
229;装;ソウ・ショウ・<よそお(う)#o>・<よそお(い)#o>;наряжаться, притворяться, наряд
230;裏;リ・うら;изнанка, задняя часть, подкладка
231;補;ホ・<おぎな(う)#o>;восполнять, пополнять, возмещать, компенсировать
232;触;ショク・<さわ(る)#o>・<ふ(れる)#o>;трогать, прикасаться, задевать, упоминать, распускать слухи
233;訪;ホウ・<おとず(れる)#o>・<たず(ねる)#o>;посещать, навещать, заходить
234;設;セツ・<もう(ける)#o>;учреждать, устраивать, оборудовать, иметь ребёнка
235;詞;シ・ことば;слово
236;詰;キツ・<つ(める)#o>・つめ・<つ(まる)#o>・<つ(む)#o>;набивать, наполнять, сокращать, начинка, набивка, быть набитым, быть сдавленным
237;誌;シ;журнал, запись, описание
238;誤;ゴ・<あやま(り)#o>・<あやま(る)#o>;ошибка, промах, ошибаться, вводить в заблуждение
239;諸;ショ・もろ;всевозможные, целиком, полностью, совсем
240;警;ケイ・<いまし(める)#o>;полиция, предупреждать, предостерегать
241;貝;バイ・かい;раковина, моллюск с раковиной
242;貧;ヒン・ビン・<まず(しい)#o>;бедный, нуждающийся, скудный
243;貨;カ;монета, деньги, товары
244;販;ハン;сбывать, продавать
245;貯;チョ・<た(める)#o>・<たくわ(える)#o>;копить, откладывать, запасать, отращивать
246;貿;ボウ;торговля
247;賞;ショウ・<ほ(める)#o>;награда, премия, приз, хвалить, восхищаться
248;賢;ケン・<かしこ(い)#o>;мудрость, умный, мудрый
249;贈;ゾウ・<おく(る)#o>;подарок, дарить, преподносить
250;超;チョウ・<こ(える)#o>・<こ(す)#o>;сверх-, превышать, превосходить
251;越;エツ・<こ(える)#o>・<こ(す)#o>;превосходить, переходить, перебираться, переезжать
252;跡;セキ・あと;след, отпечаток, развалины
253;踊;ヨウ・<おど(る)#o>・<おど(り)#o>;танцевать, плясать, танец
254;軒;ケン・のき;край крыши, карниз, крыша, счет. суф. домов
255;軟;ナン・<やわ(らかい)#o>;мягкий, нежный
256;輸;ユ・<ゆ(する)#o>;ввоз-вывоз, уступать, быть слабее
257;辛;シン・<から(い)#o>・<つら(い)#o>;острый, горький, солёный, тяжёлый
258;辞;ジ・<や(める)#o>;отставка, слово, речь, обращение, уходить в отставку
259;込;<こ(む)#o>・<こ(める)#o>;внутрь, быть переполненным, включать, вкладывать душу
260;迎;ゲイ・<むか(える)#o>;выходить на встречу, встречать, принимать у себя
261;述;ジュツ・<の(べる)#o>;высказывать, излагать, выражать
262;逃;トウ・<に(げる)#o>・<に(がす)#o>;убегать, избегать, упускать, выпускать на свободу
263;逆;ギャク・さかさ・<さから(う)#o>;наоборот, противоположность, идти против
264;途;ト;путь, дорога
265;造;ゾウ・<つく(る)#o>;изготовлять, делать, строить
266;郊;コウ;пригород
267;郵;ユウ;почта
268;量;リョウ・<はか(る)#o>;количество, объём, мерить, измерять, взвешивать
269;針;シン・はり;игла, шип, колючка, стрелка
270;鈍;ドン・<にぶ(い)#o>・<にぶ(る)#o>;тупой, несообразительный, затупляться
271;鉱;コウ・あらがね;руда, минерал
272;銅;ドウ・あかがね;медь
273;鋭;エイ・<するど(い)#o>;острый, острота
274;防;ボウ・<ふせ(ぐ)#o>;предотвращать, обороняться, защищаться
275;除;ジョ・<のぞ(く)#o>;устранять, убирать, исключать
276;隅;グウ・すみ;внутренний угол
277;隻;セキ;только один, один из пары, сч. суф. кораблей
278;雇;コ・<やと(い)#o>・<やと(う)#o>;наём, работа по найму, нанимать, брать на прокат
279;難;ナン・<むずか(しい)#o>・<かた(い)#o>;трудный, тяжелый, невозможный
280;零;レイ・ぜろ・<こぼ(す)#o>・<こぼ(れる)#o>;ноль, проливать, рассыпать, поливаться, расплёскиваться
281;震;シン・<ふる(う)#o>・<ふる(える)#o>;землетрясение, трястись, дрожать
282;革;カク・かわ;кожа, шкура, кожура, кора
283;靴;カ・くつ;обувь, ботинки
284;頂;チョウ・<いただ(き)#o>・<いただ(く)#o>;вершина, пик, брать, получать, есть, пить 
285;順;ジュン;порядок, последовательность
286;預;ヨ・<あず(ける)#o>・<あず(かる)#o>;депозит, отдавать на хранение, брать на хранение
287;領;リョウ;территория, владение
288;頼;ライ・<たの(む)#o>・<たのも(しい)#o>・<たよ(る)#o>;просить, поручать, надежный, полагаться, опираться
289;額;ガク・ひたい;сумма, количество, картина в раме, лоб
290;香;コウ・か・<かお(り)#o>・<かお(る)#o>;аромат, запах, пахнуть
291;駐;チュウ;пребывать, стоянка, парковка
292;骨;コツ・ほね;кость, костяк, остов, сущность
293;髪;ハツ・かみ;волосы (на голове)
294;麦;バク・むぎ;хлебные злаки, зерновые
295;黄;コウ・オウ・き;желтый
296;齢;レイ・よわい;возраст
